student_id,name,past_classes,requested_classes,grad_year,major_status
S0000,Sean Boyer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2025,Non-major
S0001,Randall Jones,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0002,Beth Jones,[CS62,CS54,CS51,CS140],[CS181DV,CS122],2025,CS minor
S0003,Karen Lynch,[CS54,CS51,CS62,CS105],[CS101],2028,CS minor
S0004,Christopher Smith,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0005,Brittney Tran,[],[CS153,CS101],2026,CS major
S0006,Jay Sanchez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2027,CS minor
S0007,Michelle Hardy,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S0008,Jonathan Lane,[CS101,CS54,CS51,CS62],[],2026,CS major
S0009,Christine Villegas,[CS51],[],2025,CS major
S0010,Crystal Parsons,[CS54,CS51,CS62,CS105],[],2026,Non-major
S0011,Hannah Kennedy,[CS54,CS51,CS62,CS105],[CS140],2026,CS minor
S0012,Aaron Moore,[CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0013,Leah Molina,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,CS minor
S0014,Jennifer Garrison,[],[CS140,CS181DV],2027,Non-major
S0015,Ashley Mckenzie,[],[CS181DV,CS140],2026,CS minor
S0016,Brandon Lewis,[CS140,CS51,CS62,CS105,CS54],[CS105],2026,CS major
S0017,Jill Scott,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2026,Non-major
S0018,David Murphy,[CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,Non-major
S0019,Sharon Lam,[CS140,CS51,CS62,CS101,CS54],[],2026,CS minor
S0020,Michelle Perkins,[CS54,CS51,CS62,CS105],[CS153,CS133],2028,CS major
S0021,Stephanie Cox,[CS51,CS62,CS105,CS101,CS54],[CS158,CS101],2025,Non-major
S0022,Andrew Dawson,[],[CS101,CS105],2027,CS minor
S0023,Amy Hughes,[CS54,CS51,CS62,CS105],[],2026,CS minor
S0024,Dustin Howard,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS minor
S0025,Jonathan Garrison,[CS140,CS51,CS62,CS101,CS54],[CS122],2026,CS major
S0026,John Galvan,[CS62,CS54,CS51,CS140],[CS158],2027,CS minor
S0027,Ms. Shannon Reilly MD,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2026,CS minor
S0028,Brittany Thompson,[CS140,CS51,CS62,CS105,CS54],[CS122,CS132],2028,CS major
S0029,Nathan Garcia,[CS140,CS51,CS62,CS101,CS54],[],2028,Non-major
S0030,Jay Wilkerson,[CS140,CS51,CS62,CS101,CS54],[CS158],2027,Non-major
S0031,Nicholas Perez Jr.,[CS101,CS54,CS51,CS62],[CS153],2026,CS minor
S0032,Jody Sanchez,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0033,Mandy Craig,[CS101,CS54,CS51,CS62],[],2028,Non-major
S0034,James Smith,[CS101,CS54,CS51,CS62],[CS122],2028,CS minor
S0035,Angel Whitaker,[CS51],[],2026,CS minor
S0036,Robert Hawkins,[CS101,CS54,CS51,CS62],[CS133,CS101],2026,CS major
S0037,Emily Chapman,[CS54,CS51,CS62,CS105],[CS153,CS140],2028,CS major
S0038,Austin Scott,[CS51,CS62,CS105,CS101,CS54],[CS181DV],2025,CS minor
S0039,Lisa Whitaker,[CS51,CS62],[],2026,Non-major
S0040,Annette Henry,[CS54,CS51],[CS133],2025,CS minor
S0041,Allen Ramirez,[CS62,CS54,CS51,CS140],[CS133,CS181DV],2028,CS major
S0042,Christopher Li,[CS140,CS51,CS62,CS101,CS54],[CS105],2028,Non-major
S0043,David Chambers,[CS140,CS51,CS62,CS101,CS54],[],2025,CS minor
S0044,Stephen Velazquez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS140],2025,Non-major
S0045,Amanda Tanner,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2026,CS major
S0046,Brian Brown,[CS51,CS62,CS105,CS101,CS54],[CS132,CS138],2028,CS minor
S0047,Melissa Stone,[CS101,CS54,CS51,CS62],[CS140,CS133],2026,CS minor
S0048,Jennifer Jackson,[CS101,CS54,CS51,CS62],[CS105],2027,CS minor
S0049,Mario Richardson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0050,Susan Snyder,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0051,Deanna Bruce,[],[],2027,CS major
S0052,Anthony Cruz,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS minor
S0053,Sydney Matthews,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S0054,Brandi Bell,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2027,CS minor
S0055,Lisa Rowe,[],[],2026,CS minor
S0056,Kelly Campbell,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S0057,Joanne Henderson,[CS101,CS54,CS51,CS62],[CS181DV],2028,CS major
S0058,Jason Roberts,[CS54,CS51,CS62,CS105],[CS122,CS181AA],2025,CS major
S0059,Brian Stevenson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS minor
S0060,Eric Hampton,[CS101,CS54,CS51,CS62],[CS105],2026,CS minor
S0061,Gabriel Robertson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S0062,Thomas Johnson,[CS101,CS54,CS51,CS62],[],2026,Non-major
S0063,Devin Barrett,[CS54,CS51],[],2026,CS major
S0064,Mary Perez,[CS54,CS51,CS62],[],2026,Non-major
S0065,Casey Taylor,[CS51,CS62],[],2026,CS minor
S0066,Courtney Walker,[CS54,CS51],[CS158,CS138],2026,CS major
S0067,Kathy Middleton,[CS54,CS51,CS62,CS105],[CS181AA,CS133],2025,CS minor
S0068,Alexander Ramirez,[],[CS158,CS140],2025,CS major
S0069,Monica Andersen,[],[CS138,CS140],2027,Non-major
S0070,Terry Hall,[],[],2026,CS minor
S0071,Wayne Kelly,[CS54,CS51,CS62],[CS101],2027,CS major
S0072,Jeremy Rodriguez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2026,Non-major
